id,word,pinyin,definition,definition_th,level,example_sentence,example_pinyin
1,包,"Bāo, bāo",bag; package; to wrap; to include,กระเป๋า; ห่อ; รวม,1,我有一个包。,Wǒ yǒu yī gè bāo.
2,杯,bēi,cup; glass; trophy; classifier for containers of liquids,ถ้วย; แก้ว; ถ้วยรางวัล; หน่วยนับสำหรับภาชนะบรรจุของเหลว,1,我有一个杯子。,Wǒ yǒu yī gè bēizi.
3,本子,běn zi,"notebook, book","สมุดบันทึก, สมุด",1,我有一个本子。,Wǒ yǒu yī gè běn zi.
4,别人,bié ren,"other people, others","คนอื่น, ผู้อื่น",1,别人在看书。,bié ren zài kàn shū.
5,比,"Bǐ, bǐ, bì",to compare,เปรียบเทียบ,1,我比你高。,Wǒ bǐ nǐ gāo.
6,不客气,bù kè qi,you're welcome; don't mention it,ไม่เป็นไร; ไม่ต้องเกรงใจ,1,不客气，你好吗？,"Bù kè qi, nǐ hǎo ma?"
7,差,"chā, chà, chāi",difference; short of; to send; to dispatch,ความแตกต่าง; ขาด; ส่ง; ไปทำหน้าที่,1,他差一点就来了。,Tā chà yīdiǎn jiù lái le.
8,常,"Cháng, cháng","often, frequently, always","บ่อย ๆ, เป็นประจำ, เสมอ",1,我常常去学校。,Wǒ chángcháng qù xuéxiào.
9,车上,chēshàng,In/on the vehicle,ใน/บนยานพาหนะ,1,我在车上。,Wǒ zài chēshàng.
10,唱,chàng,to sing,ร้องเพลง,1,他喜欢唱歌。,Tā xǐhuān chànggē.
11,吃,chī,to eat; to consume,กิน; บริโภค,1,我吃苹果。,wǒ chī píngguǒ.
12,出,chū,"to go out, to come out, to exit","ออกไป, ออกมา, ออกจาก",1,我出门了。,Wǒ chū mén le.
13,打,"dá, dǎ",to hit; to strike; to play; to make; to do; to type; to call,ตี; ต่อย; เล่น; ทำ; โทร,1,我打电话。,Wǒ dǎ diànhuà.
14,第,dì,"prefix for ordinal numbers (e.g., first, second)",คำนำหน้าตัวเลขลำดับ (เช่น ที่หนึ่ง ที่สอง),1,我第一。,wǒ dì yī
15,动,dòng,to move; to stir; to change; to use; to touch; (abbreviation for verb),เคลื่อนไหว; ขยับ; เปลี่ยน; ใช้; สัมผัส; (คำย่อของคำกริยา),1,小猫在动。,Xiǎo māo zài dòng.
16,动作,dòng zuò,"action, movement","การเคลื่อนไหว, การกระทำ",1,他的动作很快。,tā de dòng zuò hěn kuài.
17,读,"dòu, dú",to read; to study; pronunciation (of a word),อ่าน; ศึกษา; การออกเสียง (ของคำ),1,我读一本书。,wǒ dú yī běn shū.
18,对不起,duì bu qǐ,"I'm sorry, excuse me, pardon me","ขอโทษ, ขออภัย",1,对不起，我不去。,"duì bu qǐ, wǒ bù qù."
19,饿,è,to be hungry,หิว,1,我饿了。,Wǒ è le.
20,对,duì,"correct, right; towards, to; pair, couple; to face; to match; to answer","ถูกต้อง, ใช่; ไปทาง, ต่อ; คู่; หันหน้า; จับคู่; ตอบ",1,你说得对。,Nǐ shuō de duì.
21,房子,fáng zi,"house, building, apartment","บ้าน, อาคาร, อพาร์ตเมนต์",1,这是我的房子。,Zhè shì wǒ de fáng zi.
22,飞,fēi,to fly,บิน,1,小鸟在天上飞。,Xiǎo niǎo zài tiān shàng fēi.
23,飞机,fēi jī,airplane,เครื่องบิน,1,我坐飞机去北京。,wǒ zuò fēi jī qù běi jīng.
24,分,"fēn, fèn",to divide; to separate; to distribute; minute (time unit),แบ่ง; แยก; แจกจ่าย; นาที (หน่วยเวลา),1,我分苹果。,Wǒ fēn píngguǒ.
25,干,"gān, Gān, gàn",to do; to work; to manage; main part; dry; surname Gan,ทำ; ทำงาน; จัดการ; ส่วนหลัก; แห้ง; นามสกุลกาน,1,我干工作。,Wǒ gàn gōngzuò.
26,哥哥,gē ge,older brother,พี่ชาย,1,我哥哥是学生。,Wǒ gē ge shì xué sheng.
27,干什么,gàn shén me,What are you doing? / What's he/she doing?,คุณกำลังทำอะไรอยู่? / เขา/เธอกำลังทำอะไรอยู่?,1,你在干什么？,nǐ zài gàn shén me?
28,跟,gēn,to follow; to go with; and; with,ตาม; ไปกับ; และ; กับ,1,我跟你去。,Wǒ gēn nǐ qù.
29,关上,guān shàng,"to close (e.g., a door, window); to turn off (e.g., lights, equipment)",ปิด (เช่น ประตู หน้าต่าง); ปิดสวิตช์ (เช่น ไฟ อุปกรณ์ไฟฟ้า),1,请关上窗户。,Qǐng guān shàng chuāng hù.
30,贵,guì,expensive; noble; precious; (honorific) your,แพง; มีเกียรติ; ล้ำค่า; (คำยกย่อง) ของคุณ,1,这个苹果很贵。,Zhège píngguǒ hěn guì.
31,孩子,hái zi,child,เด็ก,1,这个孩子很可爱。,Zhège háizi hěn kě'ài.
32,还有,hái yǒu,and also; in addition; furthermore,และยังมี; นอกจากนี้; อีกด้วย,1,我有一本书，还有一支笔。,"Wǒ yǒu yī běn shū, hái yǒu yī zhī bǐ."
33,汉字,hàn zì,Chinese character,อักษรจีน,1,我学汉字。,wǒ xué hàn zì.
34,好吃,"hǎo chī, hào chī","delicious, tasty; fond of eating",อร่อย; ชอบกิน,1,这个苹果很好吃。,zhè ge píng guǒ hěn hǎo chī.
35,好玩儿,hǎo wánr,"fun, enjoyable, interesting","สนุก, น่าสนใจ, น่าเพลิดเพลิน",1,这个公园很好玩儿。,Zhège gōngyuán hěn hǎo wánr.
36,号,"háo, hào","number, day of the month, size, mark, store, horn","หมายเลข, วันที่, ขนาด, เครื่องหมาย, ร้าน, แตร",1,今天是几号？,Jīntiān shì jǐ hào?
37,大学生,dà xué shēng,university student; college student,นักศึกษามหาวิทยาลัย,1,我是一个大学生。,Wǒ shì yí gè dà xué shēng.
38,到,dào,"to arrive, to reach, to (a place), until (a time)","ถึง, มาถึง, ไปถึง",1,我下午三点到北京。,Wǒ xiàwǔ sān diǎn dào Běijīng.
39,地方,"dì fāng, dì fang","place, location","สถานที่, ที่",1,这是什么地方？,Zhè shì shénme dìfang?
40,弟弟,dì di,younger brother,น้องชาย,1,他是我弟弟。,Tā shì wǒ dì di.
41,点,diǎn,o'clock; dot; a little; to order (food),"โมง (เวลา), แต้ม, นิดหน่อย, สั่ง (อาหาร)",1,现在三点了。,Xiànzài sān diǎn le.
